,Total Run Score,Total Discards Used,Total Cards Played,Best Hand Score,Hand played for Best Hand Score,Rounds Won,Rounds Played,Antes Won,Run Average Score,Average Discards,Flush Count,Four of a Kind Count,Full House Count,High Card Count,Pair Count,Straight Count,Straight Flush Count,Three of a Kind Count,Two Pair Count
0,1480.0,1.0,48.0,348,Full House,3,4,1,493.3,0.3,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0
0,1120.0,4.0,41.0,372,Full House,2,3,0,560.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
0,1503.0,6.0,51.0,368,Full House,3,4,1,501.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0
0,1748.0,2.0,56.0,360,Full House,3,4,1,582.7,0.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
0,1652.0,5.0,40.0,1080,Straight Flush,2,3,0,826.0,2.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0
0,1036.0,1.0,38.0,348,Full House,2,3,0,518.0,0.5,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0
0,388.0,0.0,15.0,308,Straight,1,2,0,388.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0
0,926.0,6.0,34.0,372,Full House,2,3,0,463.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0
0,1627.0,2.0,42.0,700,Four of a Kind,3,4,1,542.3,0.7,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0
0,1512.0,5.0,56.0,320,Full House,3,4,1,504.0,1.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0
0,1500.0,4.0,52.0,316,Flush,3,4,1,500.0,1.3,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0
0,1459.0,1.0,45.0,324,Straight,3,4,1,486.3,0.3,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0
0,1692.0,5.0,35.0,700,Four of a Kind,3,4,1,564.0,1.7,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
0,2477.0,6.0,58.0,360,Full House,4,5,1,619.2,1.5,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,5.0
0,2306.0,4.0,69.0,332,Flush,4,5,1,576.5,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0
0,1119.0,6.0,41.0,324,Straight,2,3,0,559.5,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0
0,0.0,0.0,10.0,116,Two Pair,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
0,1017.0,1.0,35.0,304,Flush,2,3,0,508.5,0.5,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0
0,1872.0,3.0,56.0,372,Full House,3,4,1,624.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0
